TRIlong_start_activation;TRIlong_final_activation;TRIlat_start_activation;TRIlat_final_activation;TRImed_start_activation;TRImed_final_activation;BIClong_start_activation;BIClong_final_activation;BICshort_start_activation;BICshort_final_activation;BRA_start_activation;BRA_final_activation;r_shoulder_jointangle_desired;r_shoulder_jointangle_final;r_elbow_jointangle_desired;r_elbow_jointangle_final;execution_time;gradient_stepsize
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;186757;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;179556;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;180287;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;178302;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;178855;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;180349;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;183534;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;177614;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;184939;0.001
0.3;0.066;0.2;0.152;0.4;0.436;0.2;0.28;0.2;0.25;0.2;0.168;45;45.0001;135;134.941;177996;0.001
