biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;simulation_abortion_count;gradient_stepsize
0.1;0.259;0.1;0.083;50;50.0029;28859;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;29105;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;28358;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;28568;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;29441;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;28796;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;29749;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;30210;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;29979;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;30252;0.05;100000
