biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;gradient_stepsize
0.1;0.249;0.1;0.069;50;49.9799;40292;0.001
0.1;0.249;0.1;0.069;50;49.9799;41917;0.001
0.1;0.249;0.1;0.069;50;49.9799;41276;0.001
0.1;0.249;0.1;0.069;50;49.9799;40185;0.001
0.1;0.249;0.1;0.069;50;49.9799;39787;0.001
0.1;0.249;0.1;0.069;50;49.9799;39502;0.001
0.1;0.249;0.1;0.069;50;49.9799;39211;0.001
0.1;0.249;0.1;0.069;50;49.9799;38871;0.001
0.1;0.249;0.1;0.069;50;49.9799;41481;0.001
0.1;0.249;0.1;0.069;50;49.9799;39940;0.001
