biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;simulation_abortion_count;gradient_stepsize
0.1;0.259;0.1;0.083;50;50.0029;31342;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;31863;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;30887;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;31250;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;31389;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;31698;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;30883;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;32138;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;30106;0.05;100000
0.1;0.259;0.1;0.083;50;50.0029;28668;0.05;100000
