biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;gradient_stepsize
0.1;0.249;0.1;0.069;50;49.9799;39837;0.001
0.1;0.249;0.1;0.069;50;49.9799;39345;0.001
0.1;0.249;0.1;0.069;50;49.9799;39553;0.001
0.1;0.249;0.1;0.069;50;49.9799;39918;0.001
0.1;0.249;0.1;0.069;50;49.9799;39090;0.001
0.1;0.249;0.1;0.069;50;49.9799;38707;0.001
0.1;0.249;0.1;0.069;50;49.9799;39616;0.001
0.1;0.249;0.1;0.069;50;49.9799;39554;0.001
0.1;0.249;0.1;0.069;50;49.9799;39968;0.001
0.1;0.249;0.1;0.069;50;49.9799;39933;0.001
