TRIlong_start_activation;TRIlong_final_activation;TRIlat_start_activation;TRIlat_final_activation;TRImed_start_activation;TRImed_final_activation;BIClong_start_activation;BIClong_final_activation;BICshort_start_activation;BICshort_final_activation;BRA_start_activation;BRA_final_activation;r_shoulder_jointangle_desired;r_shoulder_jointangle_final;r_elbow_jointangle_desired;r_elbow_jointangle_final;execution_time;gradient_stepsize
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;81008;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;81403;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;87604;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;89846;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;95985;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;90577;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;92722;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;92473;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;93925;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;91995;0.001
