biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;simulation_abortion_count;gradient_stepsize
0.1;0.207031;0.1;0.003125;50;49.9978;50190;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;51237;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;50486;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;54775;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;56096;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;54760;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;56018;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;59178;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;59022;0.05;100000
0.1;0.207031;0.1;0.003125;50;49.9978;60420;0.05;100000
