biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;gradient_stepsize
0.5;0.403;0.5;0.501;10;10.0107;6444;0.001
0.5;0.444;0.5;0.498;15;15.0025;4308;0.001
0.5;0.483;0.5;0.503;20;19.9965;3061;0.001
0.5;0.503;0.5;0.501;25;24.9812;1414;0.001
0.5;0.512;0.5;0.496;30;29.9494;5034;0.001
0.5;0.524;0.5;0.498;35;34.9663;4130;0.001
0.5;0.532;0.5;0.496;40;40.0628;7311;0.001
0.5;0.544;0.5;0.5;45;45.0161;7973;0.001
0.5;0.552;0.5;0.498;50;49.9898;9533;0.001
0.5;0.561;0.5;0.497;55;55.0194;11812;0.001
0.5;0.575;0.5;0.501;60;59.9988;13234;0.001
0.5;0.588;0.5;0.496;65;64.9921;15402;0.001
0.5;0.624;0.5;0.496;70;69.9912;16394;0.001
0.5;0.696;0.5;0.502;75;74.9976;18444;0.001
0.5;0.776;0.5;0.484;80;79.9939;21448;0.001
