biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;gradient_stepsize
0.5;0.396875;0.5;0.492188;10;9.99102;4091;0.001
0.5;0.371875;0.5;0.396094;15;14.9807;8318;0.001
0.5;0.507031;0.5;0.535156;20;20.0335;6843;0.001
0.5;0.501563;0.5;0.498437;25;25.0965;4761;0.001
0.5;0.528906;0.5;0.517969;30;30.0521;11730;0.001
0.5;0.521094;0.5;0.49375;35;35.1803;12452;0.001
0.5;0.516406;0.5;0.475;40;39.9072;11556;0.001
0.5;0.413281;0.5;0.317188;45;45.1096;14614;0.001
0.5;0.645313;0.5;0.630469;50;49.995;21003;0.001
0.5;0.570312;0.5;0.510156;55;55.025;17126;0.001
0.5;0.590625;0.5;0.523438;60;60.0455;13021;0.001
0.5;0.59375;0.5;0.503906;65;65.0414;6144;0.001
0.5;0.664062;0.5;0.552344;70;69.9772;6258;0.001
0.5;0.966406;0.5;0.85;75;74.9933;5821;0.001
0.5;0.791406;0.5;0.501563;80;80.011;2629;0.001
