biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;gradient_stepsize
0.1;0.249;0.1;0.069;50;49.9799;42709;0.001
0.1;0.28;0.1;0.112;50;50.1143;13279;0.006
0.1;0.254;0.1;0.078;50;49.4789;9275;0.011
0.1;0.212;0.1;0.02;50;49.3666;11844;0.016
0.1;0.289;0.1;0.121;50;51.006;8572;0.021
0.1;0.204;0.1;0;50;48.9374;10573;0.026
0.1;0.224;0.1;0.038;50;49.0937;7588;0.031
0.1;0.208;0.1;0;50;50.2358;10533;0.036
0.1;0.305;0.1;0.141;50;51.7289;9177;0.041
0.1;0.238;0.1;0.054;50;49.8481;6991;0.046
0.1;0.202;0.1;0;50;48.3276;8295;0.051
0.1;0.212;0.1;0;50;51.5299;7762;0.056
0.1;0.222;0.1;0;50;54.726;9108;0.061
0.1;0.232;0.1;0;50;57.8231;7165;0.066
0.1;0.242;0.1;0;50;60.7637;7773;0.071
0.1;0.252;0.1;0.076;50;49.3414;10128;0.076
0.1;0.262;0.1;0.081;50;51.5462;9614;0.081
0.1;0.272;0.1;0.086;50;53.7456;10398;0.086
0.1;0.191;0.1;0;50;44.7682;11213;0.091
0.1;0.196;0.1;0;50;46.4014;10330;0.096
