TRIlong_start_activation;TRIlong_final_activation;TRIlat_start_activation;TRIlat_final_activation;TRImed_start_activation;TRImed_final_activation;BIClong_start_activation;BIClong_final_activation;BICshort_start_activation;BICshort_final_activation;BRA_start_activation;BRA_final_activation;r_shoulder_jointangle_desired;r_shoulder_jointangle_final;r_elbow_jointangle_desired;r_elbow_jointangle_final;execution_time;gradient_stepsize
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;93636;0.001
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;87472;0.006
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;82208;0.011
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;77951;0.016
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;78241;0.021
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;73190;0.026
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;72073;0.031
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;73486;0.036
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;71495;0.041
0.3;0.025;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4089;135;137.244;71049;0.046
0.3;0;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4676;135;137.254;59837;0.051
0.3;0;0.2;0.1;0.4;0.35;0.2;0.2;0.2;0.2;0.2;0.2;45;45.4676;135;137.254;59146;0.056
