biceps_start_activation;biceps_final_activation;triceps_start_activation;triceps_final_activation;elbow_jointangle_desired;elbow_jointangle_final;execution_time;gradient_stepsize
0.1;0.207031;0.1;0.003125;50;49.9978;57829;0.001
0.1;0.20625;0.1;0;50;49.7645;53487;0.006
0.1;0.20625;0.1;0;50;49.7645;54702;0.011
0.1;0.2125;0.1;0.0125;50;51.2069;32436;0.016
0.1;0.2125;0.1;0.0125;50;51.2069;33162;0.021
0.1;0.2;0.1;0;50;47.691;23013;0.026
0.1;0.2;0.1;0;50;47.691;22716;0.031
0.1;0.2;0.1;0;50;47.691;22631;0.036
0.1;0.2;0.1;0;50;47.691;22807;0.041
0.1;0.2;0.1;0;50;47.691;22434;0.046
0.1;0.2;0.1;0;50;47.691;20626;0.051
0.1;0.2;0.1;0;50;47.691;21539;0.056
0.1;0.2;0.1;0;50;47.691;21055;0.061
0.1;0.2;0.1;0;50;47.691;20804;0.066
0.1;0.2;0.1;0;50;47.691;21075;0.071
0.1;0.2;0.1;0;50;47.691;20741;0.076
0.1;0.2;0.1;0;50;47.691;20769;0.081
0.1;0.2;0.1;0;50;47.691;21594;0.086
0.1;0.2;0.1;0;50;47.691;22746;0.091
0.1;0.2;0.1;0;50;47.691;21479;0.096
